,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
48,48,,2022-08-23 09:34:51.692732,2022-08-23 09:35:06.089799,0 days 00:00:14.397067,,,,,,,0.9304662338719013,0.9503923807221991,9.323449448306288e-08,0.09994809832316467,0.0009179930084224562,,,,,,fnn,True,0.02,0.04,0.16,0.04,0.16,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,5,Adam,1024.0,64.0,64.0,256.0,32.0,,False,False,FAIL
49,49,,2022-08-23 09:35:06.090322,2022-08-23 09:35:22.800491,0 days 00:00:16.710169,,,,,,,0.9351698412269595,0.9529596182685414,9.434485659313484e-08,0.09509798706939593,0.0008877482404032118,,,,,,fnn,True,0.02,0.04,0.16,0.04,0.02,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,5,Adam,1024.0,64.0,128.0,64.0,512.0,,False,False,PRUNED
50,50,,2022-08-23 09:35:22.801168,2022-08-23 09:35:39.440038,0 days 00:00:16.638870,,,,,,,0.8970949186443395,0.9584572966519763,7.665454391089017e-08,0.09607345553545338,0.0006847764498821515,,,,,,lstm,True,0.02,,,,,,,,,,,,256.0,,,,,,,MSELoss,,,,,,,1,Adam,,,,,,,False,False,PRUNED
51,51,,2022-08-23 09:35:39.440669,2022-08-23 09:35:53.649477,0 days 00:00:14.208808,,,,,,,,,,,,0.4012406906425305,1.2880369360088524,0.015856646926094203,1.2884377441773585e-06,49.86833804423854,fnn,True,0.04,0.04,,,,,,,,,,,,,,,,,ELU,HuberLoss,,,,,,,2,Rprop,1024.0,64.0,,,,,False,False,PRUNED
52,52,,2022-08-23 09:35:53.650046,2022-08-23 09:38:02.246855,0 days 00:02:08.596809,,,,,,,,,,,,0.47482850881457117,1.226483274874225,0.003769900308026257,2.6983396968480986e-06,32.828720606588575,lstm,True,0.01,0.32,0.32,,,,,,,,,,16.0,16.0,1024.0,,,,,HuberLoss,,,,,,,3,Rprop,,,,,,,False,False,PRUNED
53,53,,2022-08-23 09:38:02.247608,2022-08-23 09:38:57.615798,0 days 00:00:55.368190,,,,,,,,,,,,,,,,,lstm,True,,,,,,,4.0063565430285844e-05,6.496504446102275e-05,7.442941647004163e-05,1.0945025263615064e-06,9.817585246865678e-05,,16.0,16.0,1024.0,32.0,128.0,,,HuberLoss,0.14890188359993958,0.10018696338283095,0.05004344006486723,0.19758643441432538,0.060197467071598634,,5,Rprop,,,,,,,True,True,PRUNED
54,54,,2022-08-23 09:38:57.616365,2022-08-23 09:39:17.607417,0 days 00:00:19.991052,,,,,,,,,,,,,,,,,lstm,True,,,,,,,3.5312573577526495e-05,,,,,,16.0,,,,,,,HuberLoss,0.14223943011214368,,,,,,1,Rprop,,,,,,,True,True,PRUNED
55,55,,2022-08-23 09:39:17.608033,2022-08-23 09:40:08.813660,0 days 00:00:51.205627,,,,,,,,,,,,,,,,,fnn,True,,,,,,,7.284274244721001e-05,,,,,,,,,,,,CELU,GaussianNLLLoss,0.0950161631288457,,,,,,1,Adagrad,256.0,,,,,,True,True,PRUNED
56,56,,2022-08-23 09:40:08.814287,2022-08-23 09:41:20.355425,0 days 00:01:11.541138,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,GELU,GaussianNLLLoss,,,,,,,6,Adadelta,256.0,1024.0,64.0,1024.0,32.0,64.0,True,,PRUNED
57,57,,2022-08-23 09:41:20.356086,2022-08-23 09:42:10.329807,0 days 00:00:49.973721,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,Mish,GaussianNLLLoss,,,,,,,1,Adadelta,64.0,,,,,,True,,PRUNED
58,58,,2022-08-23 09:42:10.330527,2022-08-23 09:43:04.791565,0 days 00:00:54.461038,9.95514317994142e-06,0.6247478111027553,0.6306341799602048,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,Tanh,GaussianNLLLoss,,,,,,,2,Adadelta,64.0,512.0,,,,,False,,PRUNED
59,59,,2022-08-23 09:43:04.792014,2022-08-23 09:44:04.649559,0 days 00:00:59.857545,,,,0.0448600588809744,0.09840361948023131,0.00046095993429613925,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,CELU,GaussianNLLLoss,,,,,,,4,Adagrad,256.0,16.0,32.0,256.0,,,False,,PRUNED
60,60,,2022-08-23 09:44:04.650246,2022-08-23 09:44:51.123138,0 days 00:00:46.472892,,,,,,,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,MSELoss,,,,,,,2,Adagrad,64.0,16.0,,,,,True,,PRUNED
61,61,,2022-08-23 09:44:51.123852,2022-08-23 09:45:52.370364,0 days 00:01:01.246512,,,,,,,,,,,,,,,,,lstm,True,,,,,,,2.3513901738482885e-05,6.555701808048695e-06,6.427678313632562e-06,2.2637405574467606e-05,2.788236719260758e-06,9.815411537468185e-05,1024.0,128.0,512.0,256.0,16.0,1024.0,,GaussianNLLLoss,0.16804829637228486,0.16664217071552603,0.1725885009034436,0.1569074344472548,0.19226955116750588,0.05361928718956549,6,Adadelta,,,,,,,True,True,PRUNED
